iceberg_id,datetime,latitude,longitude,target_latitude,target_longitude,predicted_latitude,predicted_longitude,prediction_error_km,predicted_movement_km,trajectory_uncertainty,movement_risk,iceberg_risk_score,iceberg_risk_level
a22a,2002-04-08,-76.3105,-46.7727,-76.3105,-46.7727,-76.30948304402581,-46.77532646521624,0.13253151114845346,0.13253151114845346,0.00880956111426385,0.012472360954973023,1.027468105054752,Low
a22a,2002-04-09,-76.3105,-46.7727,-76.3105,-46.7727,-76.30790301068764,-46.771299241015186,0.2911156376680901,0.2911156376680901,0.019350877230111915,0.02739649824536035,2.2569125636211287,Low
a22a,2002-04-10,-76.3105,-46.7727,-76.3105,-46.7727,-76.30881900955998,-46.774496338998745,0.1928031255754196,0.1928031255754196,0.012815902445081016,0.01814444093020277,1.494731783912972,Low
a22a,2002-04-11,-76.3105,-46.7727,-76.3105,-46.7727,-76.30164551800019,-46.758817682828635,1.0502035023964693,1.0502035023964693,0.06980854482533078,0.09883322875111192,8.141841839564323,Low
a22a,2002-04-12,-76.3105,-46.7727,-76.3105,-46.7727,-76.30200202880292,-46.75767462098199,1.0243683948312268,1.0243683948312268,0.068091247882005,0.09640192178062607,7.941551744145342,Low
a22a,2002-04-13,-76.3105,-46.7727,-76.3105,-46.7727,-76.30630486013884,-46.76873453044118,0.47801127812396105,0.47801127812396105,0.0317741006002975,0.044984993754669134,3.7058457862046152,Low
a22a,2002-04-14,-76.3105,-46.7727,-76.3105,-46.7727,-76.30646182660901,-46.76840141977837,0.4630577575978224,0.4630577575978224,0.030780118476296386,0.043577738197606276,3.5899166364820343,Low
a22a,2002-04-15,-76.3105,-46.7727,-76.2568,-46.7616,-76.30762412052447,-46.77235530583883,5.658495911480695,0.3199118557117876,0.376128402332663,0.030106471311137868,23.77196299240529,Low
a22a,2002-04-16,-76.2568,-46.7616,-76.231,-46.8947,-76.23897551355412,-46.760555714667646,3.658277491746204,1.9821846802391174,0.24317099274884507,0.18654071471099004,22.051888153370307,Low
a22a,2002-04-17,-76.231,-46.8947,-76.286,-47.0152,-76.20930396546255,-46.91356351982347,8.941386005201988,2.463679581563328,0.5943468521295104,0.23185354752527695,44.934953028781706,Moderate
a22a,2002-04-18,-76.286,-47.0152,-76.28,-46.8156,-76.3048263975456,-47.0241111960317,6.14870366703439,2.106521562775352,0.4087132204171641,0.19824189026969108,32.45246883581749,Moderate
a22a,2002-04-19,-76.28,-46.8156,-76.28,-46.8156,-76.2755548568394,-46.81435614740897,0.4953650787749846,0.4953650787749846,0.032927632813694645,0.04661813642228549,3.840383425713098,Low
a22a,2002-04-20,-76.28,-46.8156,-76.28,-46.8156,-76.28146667974694,-46.7873956326664,0.7614619637178827,0.7614619637178827,0.050615477386702454,0.0716601537451256,5.903334793007171,Low
a22a,2002-04-21,-76.28,-46.8156,-76.28,-46.8156,-76.2771013117727,-46.812743840828375,0.3310058562726541,0.3310058562726541,0.02200243772024032,0.03115051267330727,2.56616677014671,Low
a22a,2002-04-22,-76.28,-46.8156,-76.2408,-46.979,-76.27740099862126,-46.81370729003274,5.968540486779828,0.29327572417795195,0.39673751340802227,0.02759978106022833,24.908242046890468,Low
a22a,2002-04-23,-76.2408,-46.979,-76.2408,-46.979,-76.22593372946677,-46.99068184197148,1.6817064903606114,1.6817064903606114,0.11178546124393797,0.1582631193618829,13.037652449111592,Low
a22a,2002-04-24,-76.2408,-46.979,-76.2408,-46.979,-76.23504468571525,-46.98629696633071,0.6684371060936183,0.6684371060936183,0.04443198063724874,0.06290571042805536,5.182147255357139,Low
a22a,2002-04-25,-76.2408,-46.979,-76.2408,-46.979,-76.23546017732727,-46.9719554469649,0.6223146032758307,0.6223146032758307,0.041366151206986126,0.05856518417656004,4.824576439481569,Low
a22a,2002-04-26,-76.2408,-46.979,-76.3373,-47.1293,-76.23982321781142,-46.98171659149051,11.515762308848121,0.13022642087512964,0.7654693661758458,0.01225543203238277,46.41837925184606,Moderate
a22a,2002-04-27,-76.3373,-47.1293,-76.3373,-47.1293,-76.36573724444445,-47.24351182526456,4.356478594519937,4.356478594519937,0.2895814292679143,0.4099822981917329,33.77417768374417,Moderate
a22a,2002-04-28,-76.3373,-47.1293,-76.3373,-47.1293,-76.33574028483896,-47.182702818027366,1.4133774305924705,1.4133774305924705,0.09394924078378986,0.13301103509048254,10.957395850646693,Low
a22a,2002-04-29,-76.3373,-47.1293,-76.3373,-47.1293,-76.33562196720223,-47.13088372460217,0.19116960367681382,0.19116960367681382,0.012707319883299642,0.017990712397488444,1.4820676888975162,Low
a22a,2002-04-30,-76.3373,-47.1293,-76.3373,-47.1293,-76.3351577898049,-47.130378642001915,0.2398819677856724,0.2398819677856724,0.01594530113710556,0.02257496698623458,1.8597167476757166,Low
a22a,2002-05-01,-76.3373,-47.1293,-76.3373,-47.1293,-76.33535181615953,-47.12782476469275,0.22006655422941973,0.22006655422941973,0.014628141955749187,0.020710165263202743,1.706095127873061,Low
a22a,2002-05-02,-76.3373,-47.1293,-76.3373,-47.1293,-76.33484956054319,-47.12910777203143,0.27252321602015106,0.27252321602015106,0.018115012088679907,0.025646790633859565,2.112772350675177,Low
a22a,2002-05-03,-76.3373,-47.1293,-76.3373,-47.1293,-76.33305275198255,-47.125078886903026,0.4851149168417035,0.4851149168417035,0.03224628973385008,0.04565350757009045,3.760917686834623,Low
a22a,2002-05-04,-76.3373,-47.1293,-76.3373,-47.1293,-76.32969657384156,-47.11875115604229,0.8897263860623038,0.8897263860623038,0.05914139894028095,0.08373094475398069,6.8977217265760835,Low
a22a,2002-05-05,-76.3373,-47.1293,-76.3373,-47.1293,-76.33177947244819,-47.121310615547145,0.6487432950321282,0.6487432950321282,0.043122904549490075,0.06105235255105352,5.029468375011545,Low
a22a,2002-05-06,-76.3373,-47.1293,-76.3373,-47.1293,-76.33117700958044,-47.12060776344052,0.7181187588471968,0.7181187588471968,0.047734391908331515,0.06758118345792348,5.56731085281683,Low
a22a,2002-05-07,-76.3373,-47.1293,-76.3373,-47.1293,-76.3327532285469,-47.124040350784554,0.5241173725888909,0.5241173725888909,0.034838839343628136,0.049323975838307735,4.063289394149998,Low
a22a,2002-05-08,-76.3373,-47.1293,-76.3373,-47.1293,-76.33441162283148,-47.1289504854947,0.3213040811597048,0.3213040811597048,0.021357546705011235,0.03023749176179637,2.490952472772529,Low
